music_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo
4h9wh7iOZ0GGn8QVp4RAOB,148486,0,0.0826,0.704,0.797,0.000745,0.0546,-5.927,1,0.0475,0.825,139.994
31MNHKE86sEXzIglbGQ6mu,198448,7,0.223,0.777,0.686,0.00148,0.318,-6.498,0,0.0308,0.582,127.002
2Dct3GykKZ58hpWRFfe2Qd,171693,4,0.783,0.68,0.246,0.0,0.106,-14.112,1,0.058,0.388,110.23
1vYXt7VSjH9JIM5oRRo7vA,176579,11,0.0207,0.671,0.845,0.0,0.329,-4.93,0,0.048,0.775,110.056
3hRV0jL3vUpRrcy398teAU,208212,2,0.969,0.544,0.369,0.279,0.639,-9.514,1,0.038,0.102,87.01
003vvx7Niy0yvhvHt4a68B,222973,1,0.00121,0.352,0.911,0.0,0.0995,-5.23,1,0.0747,0.236,148.033
7qEHsqek33rTcFNT9PFqLf,182161,1,0.751,0.501,0.405,0.0,0.105,-5.679,1,0.0319,0.446,109.891
1Iq8oo9XkmmvCQiGOfORiz,229478,0,0.0504,0.596,0.658,0.0,0.127,-7.346,1,0.036,0.176,100.012
7to68V64Cu6zk0UDo5tyw3,253077,11,0.0637,0.59,0.562,0.0,0.105,-9.607,0,0.0505,0.561,140.835
7JKptWv4YXmievid0HajID,166537,2,0.182,0.482,0.792,0.0,0.744,-5.861,0,0.0859,0.572,154.932
1kqH58eGh2ZTOHwqBIB2tM,243899,6,0.313,0.76,0.703,0.0,0.0784,-3.667,1,0.0631,0.739,96.033
6VciS3dRMpZhJiDxT8ArFi,190000,7,0.588,0.704,0.571,0.0,0.117,-8.212,0,0.156,0.443,96.016
357iDuZ0IXAAg3Aj7UszqO,150000,9,0.0895,0.817,0.812,0.536,0.0669,-6.674,0,0.057,0.725,128.028
7bywjHOc0wSjGGbj04XbVi,196800,7,0.131,0.774,0.86,0.0,0.116,-2.888,0,0.13,0.446,100.019
1TyBUtMxdmRfXhW3MmbxtQ,165919,3,0.0935,0.731,0.855,0.0,0.688,-5.115,0,0.0513,0.966,148.042
6gV8ALkSHfJi7Bprabr1FC,171500,11,0.485,0.615,0.728,0.0,0.0672,-4.136,1,0.0752,0.84,89.681
5wcghdKONQcc5TKx9jCcns,155292,5,0.0805,0.814,0.63,0.0,0.101,-3.69,0,0.0881,0.702,89.974
6Es8Sk3xe1HiJ2MXCfHHwR,140625,5,0.0836,0.833,0.809,0.0,0.112,-2.751,0,0.0381,0.905,128.055
6vRQqxOhUFd78p5tL8jXr7,134144,7,0.0954,0.757,0.768,0.0,0.279,-5.752,1,0.034,0.972,149.099
5f4mOETLngamMDTJnbF9s7,120600,8,0.106,0.858,0.677,0.0,0.246,-4.294,1,0.118,0.584,100.046
35ttE4t8lQZA2vuCYDg4G7,184027,10,0.758,0.364,0.572,0.0,0.229,-5.861,0,0.0341,0.514,80.363
0kVpyCPMT52a05026zHGiq,141071,9,0.2,0.715,0.541,0.0,0.138,-6.909,0,0.041,0.735,83.975
1xxtsuafCIJm7WPQ1tdDDi,156632,0,0.254,0.613,0.775,0.0,0.275,-4.241,1,0.032,0.727,142.437
0mJRX0WnqWlu8Boe7gpQ1P,150000,10,0.352,0.857,0.708,0.0,0.1,-2.632,0,0.0402,0.914,98.009
1gAPIjqunPXRA4y1kYZi0q,148800,11,0.179,0.742,0.692,0.0,0.188,-3.687,1,0.0469,0.897,100.03
2xbH0CuDbid800YW5nMPzR,217491,0,0.111,0.729,0.807,0.0,0.145,-4.468,1,0.0307,0.654,94.021
4jn3R3KF5hx2fCiXlj89yE,186857,5,0.0927,0.767,0.607,0.0,0.112,-6.875,0,0.0516,0.38,104.98
7HrgGbnNKZKhBL70aFKpXk,234106,9,0.307,0.78,0.63,0.0,0.18,-4.719,1,0.105,0.789,87.999
6Z28dALKtAgZ7AZRfjMQjY,167600,11,0.00705,0.736,0.512,0.0,0.197,-10.957,1,0.0771,0.802,149.987
3tiJUOfAEqIrLFRQgGgdoY,163788,11,0.109,0.499,0.519,0.0,0.276,-8.199,1,0.0595,0.848,192.147
0H9WU0OIXPpbOVgzzOanXb,161591,7,0.513,0.781,0.601,0.0,0.268,-5.817,1,0.0459,0.853,88.06
1zgTTXWby9R40Gj9rHgH8e,184587,11,0.163,0.618,0.793,0.0,0.0822,-4.013,0,0.0493,0.688,88.01
11PV8CaPqlto9Uejx92C35,221601,11,0.251,0.721,0.782,0.0,0.107,-3.51,1,0.045,0.77,90.001
1smRP4zRit7A6ZDQXkFJWC,183329,9,0.079,0.73,0.697,0.0,0.0494,-3.067,1,0.0658,0.42,94.944
6q6aChVJ5LLXFUSfakwpxW,225661,11,0.385,0.761,0.827,6.42e-05,0.095,-4.189,0,0.0659,0.568,97.021
6hv8hai0yo19JF2c6pppj6,151654,7,0.0605,0.882,0.783,4.74e-05,0.141,-4.023,0,0.0985,0.555,127.035
4wS0TnQzVkY9ML1BPKpOk1,141079,0,0.422,0.646,0.907,0.0,0.14,-1.617,1,0.0593,0.816,168.004
1dtFrIzrr4DJZOHHESVwbt,383369,1,0.102,0.849,0.794,0.0,0.0813,-2.595,0,0.127,0.567,105.002
6XbtvPmIpyCbjuT0e8cQtp,186000,5,0.369,0.668,0.712,2.13e-05,0.108,-5.927,1,0.0381,0.264,100.02
7iQXYTyuG13aoeHxGG28Nh,162768,5,0.0887,0.911,0.778,2.16e-05,0.179,-2.248,1,0.262,0.345,96.057
3oNnzH6hmqIGIhJ1NcHlrh,160536,1,0.334,0.681,0.792,2.05e-06,0.295,-4.795,1,0.0587,0.4,98.09
7iUtQNMRB8ZkKC4AmEuCJC,174230,7,0.372,0.8,0.738,0.00877,0.19,-4.26,1,0.0691,0.267,103.008
0u6JsFiEEXb6kaF0oqyeFi,204000,1,0.223,0.736,0.902,0.0,0.375,-4.575,1,0.0832,0.554,149.945
6PMapQ7YSxkhAgNOvvoiWs,159101,10,0.0613,0.577,0.513,0.0,0.338,-7.653,0,0.0541,0.502,177.939
5O9IqFNUVtjRlDpdKex3YH,176797,7,0.373,0.781,0.573,0.0,0.117,-6.439,0,0.107,0.516,89.911
4GvEuYAfJlICR2SpMDaBxQ,172768,8,0.0023,0.869,0.568,0.00177,0.0778,-8.648,0,0.0729,0.35,98.015
4ZXZub1pPCWib6xlSHiTj6,145055,1,0.274,0.682,0.624,0.0,0.106,-3.714,1,0.0592,0.928,91.084
21RG4bCz6wb3iDCshmUGYT,148980,6,0.0227,0.7,0.854,0.0,0.19,-5.34,0,0.0375,0.968,146.983
4sl3IoHskl2Kbdy27gZ4yn,122500,6,0.343,0.811,0.649,0.0,0.121,-5.089,1,0.111,0.756,96.076
3ezO8gfskSWM3rk0GTfhFl,252348,6,0.262,0.667,0.604,0.0,0.0842,-5.119,0,0.128,0.7,81.869
3cDyocF0Ibdfs1SFQk5cLZ,199947,6,0.179,0.822,0.711,1.46e-05,0.083,-4.943,1,0.0668,0.934,102.984
1lSayCmr2lS6ndxELoabIG,167419,5,0.0863,0.771,0.656,0.0,0.115,-4.078,0,0.065,0.609,93.069
1Hs1uUl8o2VtDp1DABFq0O,338000,0,0.107,0.813,0.682,0.0,0.108,-3.598,1,0.0402,0.634,120.011
7jDYmAWdghEWmQyqwLpriE,171051,8,0.012,0.606,0.929,0.0,0.173,-2.555,0,0.0658,0.346,159.806
0iVcmJx7r74F7mTf7M6s0v,164101,2,0.291,0.844,0.68,0.0,0.553,-6.085,1,0.0644,0.619,100.109
6XjDF6nds4DE2BBbagZol6,222000,8,0.446,0.791,0.499,2.41e-05,0.0899,-8.472,0,0.0509,0.669,99.986
7pNzulQGBP6v2g4A2KnAJ6,162398,9,0.0208,0.877,0.647,1.14e-06,0.048,-4.63,0,0.15,0.828,97.973
2raFBS5ysJMxhd755bvAcf,145920,0,0.0341,0.658,0.798,0.0,0.175,-4.108,1,0.138,0.568,135.515
6CIMoDfTsvFVGhFi3v9Izn,133285,4,0.177,0.691,0.728,0.0,0.171,-5.722,0,0.0986,0.814,160.02
7bywjHOc0wSjGGbj04XbVi,196800,7,0.131,0.774,0.86,0.0,0.116,-2.888,0,0.13,0.446,100.019
7iQXYTyuG13aoeHxGG28Nh,162768,5,0.0887,0.911,0.778,2.16e-05,0.179,-2.248,1,0.262,0.345,96.057
0R6NfOiLzLj4O5VbYSJAjf,172264,11,0.255,0.751,0.819,0.0,0.236,-4.372,0,0.0409,0.697,131.842
7chTH3GBjjAyagf0SPCZDL,152500,8,0.0139,0.726,0.831,3.71e-06,0.0891,-2.035,0,0.12,0.489,95.997
05sO6FK8E9l2cfwnEUTjHq,172507,6,0.0179,0.916,0.481,0.0,0.121,-4.483,0,0.194,0.714,95.998
5RqSsdzTNPX1uzkmlHCFvK,172798,7,0.52,0.841,0.738,0.0,0.0892,-7.455,0,0.307,0.484,169.918
4bw8mcDUSRWfQo63ZTYRnU,142335,9,0.434,0.909,0.762,0.0,0.0856,-3.974,1,0.0643,0.843,101.987
1hZsWUnLbqRw09jLAMQSsb,195587,11,0.126,0.858,0.665,0.0,0.119,-4.772,1,0.152,0.659,100.09
5XVdHRf4CAJ2Jm0uMIy5qY,156346,11,0.152,0.778,0.835,0.0,0.109,-3.598,0,0.0767,0.666,140.082
2Yc3MHpZ9R5UCIz78E20AQ,90613,7,0.039,0.692,0.633,4.09e-05,0.118,-3.085,0,0.0721,0.319,98.088
505v13epFXodT9fVAJ6h8k,170480,6,0.183,0.92,0.696,0.0,0.149,-3.356,0,0.0742,0.545,106.966
7iUtQNMRB8ZkKC4AmEuCJC,174230,7,0.372,0.8,0.738,0.00877,0.19,-4.26,1,0.0691,0.267,103.008
2CeKVsFFXG4QzA415QygGb,155960,5,0.0863,0.865,0.573,0.0,0.305,-5.501,1,0.0678,0.563,94.999
4RbCdwPPk5XUpTrxAvntGM,257684,8,0.761,0.585,0.759,0.0,0.629,-5.626,0,0.0819,0.591,94.904
25OeKzcqakFPaJlXHPE5lm,186456,10,0.597,0.535,0.395,6.78e-05,0.0969,-7.805,1,0.0634,0.488,157.795
1zsPaEkglFvxjAhrM8yhpr,196600,1,0.00302,0.901,0.589,0.000237,0.0992,-6.713,0,0.289,0.399,98.002
01W6syCgxisKd0gDqFRdEG,121920,1,0.0416,0.835,0.824,2.52e-06,0.122,-3.928,1,0.288,0.323,93.932
6uIIdjYTxxpWOyWuVXrKQO,191467,10,0.183,0.808,0.944,1.11e-06,0.138,-4.863,0,0.0408,0.937,124.934
7ABLbnD53cQK00mhcaOUVG,197920,1,0.0739,0.708,0.737,0.00162,0.0955,-4.045,1,0.0436,0.607,91.986
0CYTGMBYkwUxrj1MWDLrC5,168133,8,0.114,0.743,0.831,6.43e-05,0.35,-4.042,0,0.0584,0.609,95.975
5jt25aFjW2kNoBqaEVaz5W,202174,5,0.307,0.757,0.789,0.0,0.0717,-3.46,0,0.0583,0.464,91.911
54zcJnb3tp9c5OVKREZ1Is,154375,5,0.0776,0.634,0.725,0.0,0.211,-4.945,0,0.0587,0.795,159.845
0T2pB7P1VdXPhLdQZ488uH,171880,4,0.034,0.709,0.56,0.0,0.315,-4.867,0,0.171,0.541,170.082
3tt9i3Hhzq84dPS8H7iSiJ,162638,7,0.583,0.835,0.679,1.98e-06,0.218,-5.329,0,0.0364,0.85,124.98
2hn2zOA2XFlv6DSmesylrL,150619,0,0.0509,0.791,0.892,0.000355,0.0609,-2.58,1,0.0521,0.916,97.008
6XbtvPmIpyCbjuT0e8cQtp,186000,5,0.369,0.668,0.712,2.13e-05,0.108,-5.927,1,0.0381,0.264,100.02
6VciS3dRMpZhJiDxT8ArFi,190000,7,0.588,0.704,0.571,0.0,0.117,-8.212,0,0.156,0.443,96.016
3KZCP2StVGdWkOKyRZNWA4,192120,6,0.117,0.841,0.774,2.66e-06,0.0674,-4.963,0,0.0421,0.494,95.006
1sbNEFiURUYfy024cJX8JG,167760,8,0.257,0.705,0.562,0.0,0.137,-3.378,0,0.0674,0.569,163.893
2yzshFeBIwH8tWIqHEFLeD,194563,9,0.213,0.571,0.72,0.0,0.271,-4.089,1,0.0458,0.542,83.827
5YJ4BVvTFmVCxUyhKejHfR,151667,1,0.4,0.815,0.856,8.34e-05,0.244,-3.825,0,0.122,0.872,91.995
4u8fUK0wSDHvVQ24SUMqZq,288054,5,0.674,0.691,0.628,0.0,0.129,-6.907,0,0.131,0.427,127.917
62xla8336vUnmxTWNzCfRt,228187,6,0.135,0.786,0.803,4.11e-06,0.11,-5.232,0,0.072,0.722,112.007
4FAKtPVycI4DxoOHC01YqD,216148,6,0.0492,0.783,0.729,0.000272,0.1,-3.549,0,0.0691,0.58,167.968
0p0cOpBujR114Wirv5AM7W,173991,1,0.379,0.711,0.718,0.0,0.119,-5.671,1,0.0994,0.689,159.953
1JpzJfxjHGFUyTHXLZidok,189333,5,0.104,0.811,0.5,0.0,0.372,-6.717,0,0.0976,0.789,178.017
6y8z28epOv5FlaxDv1Lo5B,176143,10,0.0575,0.796,0.68,0.000683,0.103,-5.555,0,0.37,0.71,179.923
3cDyocF0Ibdfs1SFQk5cLZ,199947,6,0.179,0.822,0.711,1.46e-05,0.083,-4.943,1,0.0668,0.934,102.984
5ktB9kTVHGFSMdJ2G0WdhN,205067,1,0.125,0.778,0.705,1.26e-06,0.0811,-4.565,0,0.0649,0.591,90.964
0IPD4hNAGIjVDBTHfVdv8o,407179,8,0.335,0.531,0.79,0.0,0.307,-4.236,0,0.348,0.693,117.027
2ItA7kOg5NH6AygzU30sEv,188827,9,0.543,0.714,0.714,0.0,0.337,-5.275,0,0.0732,0.951,83.997
4PA1wK0leCjmRZlP5dQ8Lv,191321,10,0.0687,0.715,0.642,0.0,0.0997,-7.492,0,0.0515,0.169,105.964
6CvTEtGagmzQvkUzzyKR9k,143327,1,0.0277,0.815,0.741,0.0183,0.219,-6.04,1,0.0569,0.591,125.031
3PpWCS95gDUDRPko3u1MZ9,166253,1,0.0451,0.647,0.801,0.0,0.0628,-2.946,0,0.249,0.517,180.108
3HqcNJdZ2seoGxhn0wVNDK,207627,1,0.576,0.87,0.517,0.00553,0.11,-7.918,1,0.0475,0.54,111.002
4MjDJD8cW7iVeWInc2Bdyj,267194,4,0.15,0.787,0.621,0.000402,0.58,-5.009,0,0.068,0.13,139.056
05WVKTdZhlIMX4qqMLuo0f,197333,9,0.0562,0.72,0.88,0.06,0.153,-2.834,1,0.101,0.463,180.011
6KaezqeYEakCN6jq5a7T1w,201649,10,0.121,0.898,0.719,0.000103,0.14,-4.029,0,0.1,0.863,97.029
6Sq7ltF9Qa7SNFBsV5Cogx,178567,1,0.0901,0.911,0.712,2.68e-05,0.0933,-5.105,0,0.0817,0.425,92.005
0O3U5iwTbiXCREMkvotJuN,165848,9,0.06,0.616,0.834,0.0,0.338,-3.069,1,0.0664,0.746,151.701
6tNQ70jh4OwmPGpYy6R2o9,180304,10,0.151,0.472,0.471,0.0,0.14,-5.692,1,0.0603,0.219,105.029
0mflMxspEfB0VbI1kyLiAv,182347,9,0.782,0.662,0.488,0.0,0.102,-6.894,1,0.0682,0.817,117.913
