playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Japan,タイムパラドックス,3jNwPOqdPvQIr5dRT0hzgY,False,74,タイムパラドックス,4cHdtiNVgGR80HprOsOdiK,https://i.scdn.co/image/ab67616d0000b2735855cef3bb373a81316c2820,2024-01-07,Vaundy,2IUl3m1H1EQ7QfNbNWvgru,226558,2,0.439,0.829,0.514,1.45e-06,0.231,-5.333,1,0.0531,0.757,82.05,"j-pop, japanese soul"
Top 50 - Japan,晴る,5eY7692tmgHB9dbmq6wa2M,False,78,晴る,4O53dhmIctih3p2suAAgga,https://i.scdn.co/image/ab67616d0000b2735e763f5fcb87919a7ae96f8b,2024-01-05,ヨルシカ,4UK2Lzi6fBfUi9rpDt6cik,270705,11,0.032,0.695,0.571,3.58e-06,0.118,-6.249,0,0.111,0.726,101.955,j-pop
Top 50 - Japan,ただ君に晴れ,3wJHCry960drNlAUGrJLmz,False,78,負け犬にアンコールはいらない,4jEsFbcpgjHiu0rsTdlaOy,https://i.scdn.co/image/ab67616d0000b27328b535c92629e3c8d20ec242,2018-05-09,ヨルシカ,4UK2Lzi6fBfUi9rpDt6cik,198971,5,0.343,0.679,0.834,5.74e-06,0.119,-3.223,1,0.032,0.962,139.996,j-pop
Top 50 - Japan,Perfect Night,74X2u8JMVooG2QbjRxXwR8,False,91,Perfect Night,6Msc3BwzKZ5f5FXmKuUSu6,https://i.scdn.co/image/ab67616d0000b2735e352f6eccf8cb96d0b247cc,2023-10-27,LE SSERAFIM,4SpbR6yFEvexJuaBpgAU5p,159080,5,0.1,0.697,0.82,0.0,0.0631,-4.502,1,0.0308,0.502,136.054,k-pop girl group
Top 50 - Japan,SOULSOUP,1JrxwbZ9u0VNwemdcJwZNi,False,63,SOULSOUP,2nilNZLuzCuFSkhXC2h10C,https://i.scdn.co/image/ab67616d0000b273d188d5d547e07d5868c65650,2023-12-13,OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,314469,11,0.00104,0.507,0.939,0.0,0.279,-4.299,0,0.0882,0.618,144.046,"anime, anime rock, j-pop"
Top 50 - Japan,Subtitle,4zrKPIygugUDKGFEjVwpSB,False,60,Subtitle,12sWDwrDnaBl0EagZU4sXV,https://i.scdn.co/image/ab67616d0000b2739cd074b12468e66f52dd31c9,2022-10-12,OFFICIAL HIGE DANDISM,5Vo1hnCRmCM6M4thZCInCj,305509,6,0.0313,0.649,0.683,0.0,0.118,-6.49,1,0.0424,0.381,130.0,"anime, anime rock, j-pop"
Top 50 - Japan,花になって - Be a flower,2EmkTBTh964LQen4Vz0svg,False,79,花になって - Be a flower,2CmupdP2p1BOYVYh2cjtJc,https://i.scdn.co/image/ab67616d0000b273429f3c0081fd674ba9365997,2023-10-29,Ryokuoushoku Shakai,4SJ7qRgJYNXB9Yttzs4aSa,199333,10,0.166,0.569,0.953,5.78e-06,0.071,-2.018,0,0.109,0.477,96.047,j-pop
Top 50 - Japan,Any angle,4KiY8v1cM2S8BS8ob2IGVg,False,60,Any angle,0ZkaPbECbazcsi7Mi4dNAa,https://i.scdn.co/image/ab67616d0000b27364dde5d88a3b9a477c42e4c4,2024-01-05,乃紫,2rUfBClgdqQ4Svcg0A6gIl,127926,11,0.15,0.467,0.933,0.0,0.121,-4.133,0,0.249,0.854,175.846,
Top 50 - Japan,青のすみか,3zbKiko8V3u2yn1RcT8xBZ,False,72,ROUNDABOUT,1N3qm3w4YsYgXh6XxBjkay,https://i.scdn.co/image/ab67616d0000b273fec2d68fca92ce07c2b0d616,2024-01-10,Tatsuya Kitani,7mvhRvEAHiCTQHUnH7fgnv,196640,1,0.0144,0.483,0.893,0.0,0.297,-4.842,1,0.205,0.651,152.034,japanese electropop
Top 50 - Japan,Hana,02tNuntKQsoou5T4O8meyh,False,66,Hana,0v6vQ9tMopUTccn0wUvzQD,https://i.scdn.co/image/ab67616d0000b27389c51b4d8c513e2e813e2f16,2023-10-12,Fujii Kaze,6bDWAcdtVR3WHz2xtiIPUi,246700,5,0.118,0.769,0.716,0.00659,0.158,-8.203,0,0.0429,0.66,123.031,japanese teen pop
