artist_id,artist_genres
0C0XlULifJtAgn6ZNCW2eu,"alternative rock, dance rock, modern rock, permanent wave, rock"
4GNC7GD6oZMSxPGyXy4MNB,"pop, uk pop"
06HL4z0CvFAxyc27GXpf02,pop
18lpwfiys4GtdHWNUu9qQr,"australian reggae fusion, australian surf rock"
4kcQWQDK0u9AftVSpdrAgk,"cumbia pop, trap argentino, trap triste"
2IKdK6PbitvCiXt1t2bPU6,rap uruguayo
716NhGYqD1jl2wI1Qkgq36,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
6C2mFGFh8dz1vKp9l5Ce8P,
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
4kcQWQDK0u9AftVSpdrAgk,"cumbia pop, trap argentino, trap triste"
2Hxu0Wmd7FUm0euCVInVrN,
5CA5IqbsFr4hpNLdjgO0BU,cumbia 420
0AqlFI0tz2DsEoJlKSIiT9,pop argentino
4kcQWQDK0u9AftVSpdrAgk,"cumbia pop, trap argentino, trap triste"
0AqlFI0tz2DsEoJlKSIiT9,pop argentino
19HM5j0ULGSmEoRcrSe5x3,"trap argentino, trap latino, urbano latino"
5nAsuOI0lqqbii7YFCh7cB,
4GepMkTgrIZECoCC55vqjW,cumbia pop
3WMlRpW5JWuDI95TcEWt3r,pop argentino
3Apb2lGmGJaBmr0TTBJvIZ,"trap argentino, trap triste"
2BTS8Np1YzPQuXjgdlqsBB,"argentine hip hop, rap conciencia, rap underground argentino"
2qWK8K2Jfh67UqtwY8tCW6,"argentine hip hop, trap argentino"
4SgKWjM7cJDCh2aY9H4HZf,cumbia pop
2OhUNb01gLwygOizYvTm0e,trap argentino
2OhUNb01gLwygOizYvTm0e,trap argentino
5TP8Ubo4jLKEi4Mw2O8fAk,previa
0ZCO8oVkMj897cKgFH7fRW,"gruperas inmortales, musica mexicana, nu-cumbia, ranchera, tropical"
6XkjpgcEsYab502Vr1bBeW,musica chihuahuense
4d7tFHxzWvzfsgCqPAEOSQ,
1DxLCyH42yaHKGK3cl5bvG,pop argentino
0AqlFI0tz2DsEoJlKSIiT9,pop argentino
5Y3MV9DZ0d87NnVm56qSY1,"trap argentino, trap latino, urbano latino"
5f9pQjPeDbuRF1GowQXo3L,rkt
52iwsT98xCoGgiGntTiR7K,"rap canario, trap latino, urbano latino"
4q3ewBCX7sLwd24euuV69X,"reggaeton, trap latino, urbano latino"
1DxLCyH42yaHKGK3cl5bvG,pop argentino
7iK8PXO48WeuP03g8YR51W,"reggaeton, trap latino, urbano latino"
4kcQWQDK0u9AftVSpdrAgk,"cumbia pop, trap argentino, trap triste"
3ZfYo6sKskRv0wOyrZZdAj,urbano chileno
6M6pyt8k3EjvbFo1pZFS75,rkt
35oGZihZclGoTVuICPXRP9,reggaeton chileno
4kcQWQDK0u9AftVSpdrAgk,"cumbia pop, trap argentino, trap triste"
4kcQWQDK0u9AftVSpdrAgk,"cumbia pop, trap argentino, trap triste"
2IKdK6PbitvCiXt1t2bPU6,rap uruguayo
2BTS8Np1YzPQuXjgdlqsBB,"argentine hip hop, rap conciencia, rap underground argentino"
1TtXnWcUs0FCkaZDPGYHdf,"latin hip hop, reggaeton, trap latino, urbano latino"
2OhUNb01gLwygOizYvTm0e,trap argentino
1vqR17Iv8VFdzure1TAXEq,"argentine hip hop, trap argentino, trap latino, trap triste, urbano latino"
2qWK8K2Jfh67UqtwY8tCW6,"argentine hip hop, trap argentino"
2eXWodjj5K1vVq2CSjl036,
7CvTknweLr9feJtRGrpDBy,reggaeton chileno
35oGZihZclGoTVuICPXRP9,reggaeton chileno
0AqlFI0tz2DsEoJlKSIiT9,pop argentino
6oMRQ5H3A2XA5I3RG3leni,"cumbia 420, cumbia pop"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
4q3ewBCX7sLwd24euuV69X,"reggaeton, trap latino, urbano latino"
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
1TA5sGRlKUJXBN4ZyJuDIX,"reggaeton, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
790FomKkXshlbRYZFtlgla,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
1r4hJ1h58CWwUQe3MxPuau,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
790FomKkXshlbRYZFtlgla,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
7iK8PXO48WeuP03g8YR51W,"reggaeton, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
1TA5sGRlKUJXBN4ZyJuDIX,"reggaeton, urbano latino"
66ihevNkSYNzRAl44dx6jJ,"corrido, musica mexicana, sad sierreno, sierreno"
1i8SpTcr7yvPOmcqrbnVXY,"puerto rican pop, reggaeton, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
6dLuQ5qXxIuWc5urxfIiZR,"corrido, corridos tumbados, sad sierreno, sierreno"
7iK8PXO48WeuP03g8YR51W,"reggaeton, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
0Q8NcsJwoCbZOHHW63su5S,"trap latino, urbano latino"
790FomKkXshlbRYZFtlgla,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
0tmwSHipWxN12fsoLcFU3B,"colombian pop, latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
7j6DKwmjbxvpQO8h914uEz,"reggaeton, trap colombiano, trap latino, urbano latino"
52iwsT98xCoGgiGntTiR7K,"rap canario, trap latino, urbano latino"
716NhGYqD1jl2wI1Qkgq36,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
2jSGzJw0ebJLu7OLVSOcBP,"reggaeton, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
6XkjpgcEsYab502Vr1bBeW,musica chihuahuense
3SUT1jjM5hzZj9TLfLZGIP,"latin hip hop, rap boricua, reggaeton, trap latino, urbano latino"
1TA5sGRlKUJXBN4ZyJuDIX,"reggaeton, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
0eHQ9o50hj6ZDNBt6Ys1sD,"latin hip hop, reggaeton, trap latino, urbano latino"
2YRyPiW98bpkARAS4B3OQP,"trap latino, urbano latino"
7j6DKwmjbxvpQO8h914uEz,"reggaeton, trap colombiano, trap latino, urbano latino"
7j6DKwmjbxvpQO8h914uEz,"reggaeton, trap colombiano, trap latino, urbano latino"
1TtXnWcUs0FCkaZDPGYHdf,"latin hip hop, reggaeton, trap latino, urbano latino"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
1TA5sGRlKUJXBN4ZyJuDIX,"reggaeton, urbano latino"
3LKXWvXFWrkwUzJWxzwVpW,"reggaeton, urbano latino"
51XrH5fQP2oIQynuKxSWcW,"trap latino, urbano latino"
0ys2OFYzWYB5hRDLCsBqxt,"corrido, corridos tumbados, sad sierreno, sierreno"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
790FomKkXshlbRYZFtlgla,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
4q3ewBCX7sLwd24euuV69X,"reggaeton, trap latino, urbano latino"
12GqGscKJx3aE4t07u7eVZ,"corridos tumbados, sad sierreno"
3fzFGIFcpHenYRfbnGf0JE,urbano latino
4q3ewBCX7sLwd24euuV69X,"reggaeton, trap latino, urbano latino"
6XkjpgcEsYab502Vr1bBeW,musica chihuahuense
22wbnEMDvgVIAGdFeek6ET,singer-songwriter pop
2RQXRUsr4IW1f3mKyKsy4B,pov: indie
2LIk90788K0zvyj2JJVwkJ,"deep underground hip hop, kentucky hip hop, pop rap, rap"
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap"
33qOK5uJ8AR2xuQQAhHump,
06HL4z0CvFAxyc27GXpf02,pop
08PvCOlef4xdOr20jFSTPd,viral rap
2uYWxilOVlUdk4oV9DvwqK,"brooklyn indie, pov: indie"
4oUHIQIBe0LHzYfvXNW4QM,contemporary country
0n4Fao9kbjgM76RmVlfSwr,
718COspgdWOnwOFpJHRZHS,"contemporary country, country"
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
5YGY8feqx7naU7z4HrwZM6,pop
0Y5tJX1MQlPlqiwlOH1tJY,"hip hop, rap, slap house"
0Y5tJX1MQlPlqiwlOH1tJY,"hip hop, rap, slap house"
4j96cMcT8GRi11qbvo1cLQ,
2sF5nNXnrrsCPZlt8ZpyGd,rage rap
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
1McMsnEElThX1knmY4oliG,pop
6qqNVTkY8uBg9cP3Jd7DAH,"art pop, pop"
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
66CXWjxzNUsdJxJ2JdwvnR,pop
2hlmm7s2ICUX0LVIhVFlZQ,"atl hip hop, melodic rap, rap, trap"
5cj0lLjcoR7YOSnhnX0Po5,"dance pop, pop"
6U3ybJ9UHNKEdsH7ktGBZ7,"hip hop, pop rap, rap, underground hip hop"
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
6M2wZ9GZgrQXHCFfjv46we,"dance pop, pop, uk pop"
7o95ZoZt5ZYn31e9z1Hc0a,"dance pop, pop, post-teen pop"
4Ga1P7PMIsmqEZqhYZQgDo,"melodic rap, pluggnb, rap"
7uMDnSZyUYNBPLhPMNuaM2,singer-songwriter pop
0Y5tJX1MQlPlqiwlOH1tJY,"hip hop, rap, slap house"
2h93pZq0e7k5yf4dywlkpM,"lgbtq+ hip hop, neo soul"
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap"
52N3KGrTWDRhdQJrgBTofE,
7oPgCQqMMXEXrNau5vxYZP,"folk, lilith, singer-songwriter, women's music"
33NVpKoXjItPwUJTMZIOiY,"gen z singer-songwriter, singer-songwriter pop"
2cBh5lVMg222FFuRU7EfDE,"dance pop, europop, new wave pop"
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
4oUHIQIBe0LHzYfvXNW4QM,contemporary country
10exVja0key0uqUkk6LJRT,"folk-pop, modern rock"
4oUHIQIBe0LHzYfvXNW4QM,contemporary country
2RQXRUsr4IW1f3mKyKsy4B,pov: indie
3SozjO3Lat463tQICI9LcE,
5K4W6rqBFWDnAN6FQUkS6x,"chicago rap, hip hop, rap"
6l3HvQ5sa6mXTsMTB19rO5,"conscious hip hop, hip hop, north carolina hip hop, rap"
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
1U1el3k54VvEUzo3ybLPlM,colombian pop
0FvHxb8a4I0A2i8jKCsFei,
6dLuQ5qXxIuWc5urxfIiZR,"corrido, corridos tumbados, sad sierreno, sierreno"
0ys2OFYzWYB5hRDLCsBqxt,"corrido, corridos tumbados, sad sierreno, sierreno"
5HeN1Iza4nZe03sFlonddz,
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
7Gi6gjaWy3DxyilpF1a8Is,"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno"
2LRoIwlKmHjgvigdNGBHNo,"colombian pop, pop reggaeton, reggaeton, reggaeton colombiano, trap latino, urbano latino"
7Gi6gjaWy3DxyilpF1a8Is,"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno"
0XwVARXT135rw8lyw1EeWP,"mariachi, musica mexicana, ranchera"
12GqGscKJx3aE4t07u7eVZ,"corridos tumbados, sad sierreno"
0elWFr7TW8piilVRYJUe4P,"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno"
6XkjpgcEsYab502Vr1bBeW,musica chihuahuense
6dLuQ5qXxIuWc5urxfIiZR,"corrido, corridos tumbados, sad sierreno, sierreno"
790FomKkXshlbRYZFtlgla,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
12GqGscKJx3aE4t07u7eVZ,"corridos tumbados, sad sierreno"
5TcnuUD5MHBfd1cO4kweWD,corrido
6Sbl0NT50roqWvy746MfVf,"corrido, sierreno"
1r4hJ1h58CWwUQe3MxPuau,"latin pop, reggaeton, reggaeton colombiano, trap latino, urbano latino"
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
12GqGscKJx3aE4t07u7eVZ,"corridos tumbados, sad sierreno"
4q3ewBCX7sLwd24euuV69X,"reggaeton, trap latino, urbano latino"
1bfl0AU8SqmLkElptOprhC,"banda, musica mexicana, norteno, sad sierreno, sierreno"
66ihevNkSYNzRAl44dx6jJ,"corrido, musica mexicana, sad sierreno, sierreno"
0ys2OFYzWYB5hRDLCsBqxt,"corrido, corridos tumbados, sad sierreno, sierreno"
3l9G1G9MxH6DaRhwLklaf5,"corrido, corridos tumbados, sierreno"
6Sbl0NT50roqWvy746MfVf,"corrido, sierreno"
0elWFr7TW8piilVRYJUe4P,"corrido, corridos tumbados, musica mexicana, sad sierreno, sierreno"
5FAAR1LqXQp0HbgVfQ8ZWE,"banda, corrido, musica mexicana, norteno"
1bfl0AU8SqmLkElptOprhC,"banda, musica mexicana, norteno, sad sierreno, sierreno"
25OaNybC8G6g5KkAmthQtX,
5LeiVcEnsZcwc133TUhJNW,"latin arena pop, latin pop, mexican pop"
0ys2OFYzWYB5hRDLCsBqxt,"corrido, corridos tumbados, sad sierreno, sierreno"
2KtMgfc6pR6Jpovuqrs8Ac,"corrido, sad sierreno"
35oGZihZclGoTVuICPXRP9,reggaeton chileno
3l9G1G9MxH6DaRhwLklaf5,"corrido, corridos tumbados, sierreno"
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
5xYNmNkaWRqu3e5F4UXME8,"banda, corrido, musica mexicana, norteno, sad sierreno, sierreno"
6XkjpgcEsYab502Vr1bBeW,musica chihuahuense
6Sbl0NT50roqWvy746MfVf,"corrido, sierreno"
7iK8PXO48WeuP03g8YR51W,"reggaeton, trap latino, urbano latino"
66ihevNkSYNzRAl44dx6jJ,"corrido, musica mexicana, sad sierreno, sierreno"
716NhGYqD1jl2wI1Qkgq36,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
12GqGscKJx3aE4t07u7eVZ,"corridos tumbados, sad sierreno"
3l9G1G9MxH6DaRhwLklaf5,"corrido, corridos tumbados, sierreno"
12GqGscKJx3aE4t07u7eVZ,"corridos tumbados, sad sierreno"
1gW6pz5n1aK249L0GvfQCC,"corrido, norteno, sad sierreno"
6XkjpgcEsYab502Vr1bBeW,musica chihuahuense
22wbnEMDvgVIAGdFeek6ET,singer-songwriter pop
2RQXRUsr4IW1f3mKyKsy4B,pov: indie
1URnnhqYAYcrqrcwql10ft,"atl hip hop, hip hop, rap"
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
2LIk90788K0zvyj2JJVwkJ,"deep underground hip hop, kentucky hip hop, pop rap, rap"
08PvCOlef4xdOr20jFSTPd,viral rap
2uYWxilOVlUdk4oV9DvwqK,"brooklyn indie, pov: indie"
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
7tYKF4w9nC0nq9CsPZTHyP,"pop, r&b, rap"
45dkTj5sMRSjrmBSBeiHym,"alt z, pop"
06HL4z0CvFAxyc27GXpf02,pop
33qOK5uJ8AR2xuQQAhHump,
2sF5nNXnrrsCPZlt8ZpyGd,rage rap
0Y5tJX1MQlPlqiwlOH1tJY,"hip hop, rap, slap house"
40ZNYROS4zLfyyBSs2PGe2,classic oklahoma country
3TVXtAsR1Inumwj472S9r4,"canadian hip hop, canadian pop, hip hop, pop rap, rap"
0Y5tJX1MQlPlqiwlOH1tJY,"hip hop, rap, slap house"
6U3ybJ9UHNKEdsH7ktGBZ7,"hip hop, pop rap, rap, underground hip hop"
181bsRPaVXVlUKXrxwZfHK,"houston rap, pop, r&b, rap, trap queen"
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
1U1el3k54VvEUzo3ybLPlM,colombian pop
4Ga1P7PMIsmqEZqhYZQgDo,"melodic rap, pluggnb, rap"
4oUHIQIBe0LHzYfvXNW4QM,contemporary country
1McMsnEElThX1knmY4oliG,pop
718COspgdWOnwOFpJHRZHS,"contemporary country, country"
2h93pZq0e7k5yf4dywlkpM,"lgbtq+ hip hop, neo soul"
3Me35AWHCGqW4sZ7bWWJt1,sad sierreno
5fi7lIgJGH3RgUpJYcffQ7,
1Xyo4u8uXC1ZmMpatF05PJ,"canadian contemporary r&b, canadian pop, pop"
