playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id
Top 50 - New Zealand,leavemealone,7iUScoHKNJC5hqtA40vMlj,True,79,USB,1tIp3NC564c1P9njNFJAqS,https://i.scdn.co/image/ab67616d0000b2730920dda3769771de5ffd4578,2022-01-18,Fred again..,4oLeXFyACqeem2VImYeBFe
Top 50 - New Zealand,Kill Bill,1Qrg8KqiBpW07V7PNxwwwL,False,91,SOS,1nrVofqDRs7cpWXJ49qTnP,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,2022-12-08,SZA,7tYKF4w9nC0nq9CsPZTHyP
Top 50 - New Zealand,Prada,59NraMJsLaMCVtwXTSia8i,True,94,Prada,5MU0RmBSpoSxOPYBfcobDc,https://i.scdn.co/image/ab67616d0000b273e4b7dccdfd54375ded9ccc5c,2023-08-11,cassö,5wCmhq5J2hPwL2r0eKurxn
Top 50 - New Zealand,Flowers,7DSAEUvxU8FajXtRloy8M0,False,94,Endless Summer Vacation,5DvJgsMLbaR1HmAI6VhfcQ,https://i.scdn.co/image/ab67616d0000b273cd222052a2594be29a6616b5,2023-08-18,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6
Top 50 - New Zealand,Water,5aIVCx5tnk0ntmdiinnYvw,False,95,Water,22sXXkKgjEuawIFL1e1tRw,https://i.scdn.co/image/ab67616d0000b273d20231861e86a6f74ef2393e,2023-07-28,Tyla,3SozjO3Lat463tQICI9LcE
Top 50 - New Zealand,Unwritten,3U5JVgI2x4rDyHGObzJfNf,False,92,Unwritten,3PEzTAuPW5IjLJ58FzwQeL,https://i.scdn.co/image/ab67616d0000b273b337e1ca6629a53c66a3b0d4,2004-08-30,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a
Top 50 - New Zealand,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI,False,91,Something in the Orange,1CmTOKCeyz1aHH04OwvTPv,https://i.scdn.co/image/ab67616d0000b273b2b6670e3aca9bcd55fbabbb,2022-04-22,Zach Bryan,40ZNYROS4zLfyyBSs2PGe2
Top 50 - New Zealand,Rich Baby Daddy (feat. Sexyy Red & SZA),1yeB8MUNeLo9Ek1UEpsyz6,True,93,For All The Dogs,4czdORdCWP9umpbhFXK2fW,https://i.scdn.co/image/ab67616d0000b2737d384516b23347e92a587ed1,2023-10-06,Drake,3TVXtAsR1Inumwj472S9r4
Top 50 - New Zealand,Paint The Town Red,56y1jOTK0XSvJzVv9vHQBK,True,88,Scarlet,1bBez9PNvkJPW08bU7NYta,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb,2023-09-20,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
Top 50 - New Zealand,My Love Mine All Mine,3vkCueOmm7xQDoJ17W1Pm3,False,99,The Land Is Inhospitable and So Are We,2Cn1d2KgbkAqbZCJ1RzdkA,https://i.scdn.co/image/ab67616d0000b27334f21d3047d85440dfa37f10,2023-09-15,Mitski,2uYWxilOVlUdk4oV9DvwqK
Top 50 - New Zealand,"One Of The Girls (with JENNIE, Lily Rose Depp)",7CyPwkp0oE8Ro9Dd5CUDjW,False,98,The Idol Episode 4 (Music from the HBO Original Series),7tzVd1fwkxsorytCBjEJkU,https://i.scdn.co/image/ab67616d0000b273b0dd6a5cd1dec96c4119c262,2023-06-23,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ
Top 50 - New Zealand,"yes, and?",7gaA3wERFkFkgivjwbSvkG,True,97,"yes, and?",2B9amdrHDIKOoEiPUfZGtb,https://i.scdn.co/image/ab67616d0000b2736b0b6e20fdb1ee07de7e92d6,2024-01-12,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR
Top 50 - New Zealand,Scared To Start,3Pbp7cUCx4d3OAkZSCoNvn,False,87,Scared To Start,3NpeIWhWsxU7d3XL5KEh39,https://i.scdn.co/image/ab67616d0000b27351ef67c49732e45cd2b26fbe,2024-01-12,Michael Marcagi,4j96cMcT8GRi11qbvo1cLQ
Top 50 - New Zealand,Riptide,3JvrhDOgAt6p7K8mDyZwRd,False,86,Dream Your Life Away (Special Edition),5S9b8euumqMhQbMk0zzQdH,https://i.scdn.co/image/ab67616d0000b273a9929deb093a6617d2493b03,2014-09-09,Vance Joy,10exVja0key0uqUkk6LJRT
Top 50 - New Zealand,Home,6dpLxbF7lfCAnC9QRTjNLK,False,67,Home,50ca61DooG00KrVCwMLVRl,https://i.scdn.co/image/ab67616d0000b27343a1532b43f112f4b1e639c3,2024-01-17,Good Neighbours,52N3KGrTWDRhdQJrgBTofE
Top 50 - New Zealand,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,False,90,Pendulum (Expanded Edition),372cMadhAGlNuDnc8TssqF,https://i.scdn.co/image/ab67616d0000b27351f311c2fb06ad2789e3ff91,1970-12-07,Creedence Clearwater Revival,3IYUhFvPQItj6xySrBmZkd
Top 50 - New Zealand,Good Days,4PMqSO5qyjpvzhlLI5GnID,True,82,SOS,07w0rG5TETcyihsEIZR3qG,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,2022-12-09,SZA,7tYKF4w9nC0nq9CsPZTHyP
Top 50 - New Zealand,Agora Hills,5PyDJG7SQRgWXefgexqIge,True,85,Scarlet,1bBez9PNvkJPW08bU7NYta,https://i.scdn.co/image/ab67616d0000b273a840032f14ab22da396e43cb,2023-09-20,Doja Cat,5cj0lLjcoR7YOSnhnX0Po5
Top 50 - New Zealand,Last Night,7K3BhSpAxZBznislvUMVtn,True,86,One Thing At A Time,6i7mF7whyRJuLJ4ogbH2wh,https://i.scdn.co/image/ab67616d0000b273705079df9a25a28b452c1fc9,2023-03-03,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM
Top 50 - New Zealand,Pink + White,3xKsf9qdS1CyvXSMEid6g8,False,92,Blonde,3mH6qwIy9crq0I9YQbOuDf,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,2016-08-20,Frank Ocean,2h93pZq0e7k5yf4dywlkpM
Top 50 - New Zealand,Lil Boo Thang,0cVyQfDyRnMJ0V3rjjdlU3,False,89,Lil Boo Thang,1j5AROUr8rq5xb2CXDIH1c,https://i.scdn.co/image/ab67616d0000b273811b8a1d3649f63af1d5fb65,2023-08-18,Paul Russell,4zoRNhOhsGX3w8yBAnFSQ8
