playlist_name,music_name,music_id,music_explicit,music_popularity,album_name,album_id,album_image,album_release_date,artist_name,artist_id,music_duration,music_key,music_acousticness,music_danceability,music_energy,music_instrumentalness,music_liveness,music_loudness,music_mode,music_speechness,music_valence,music_tempo,artist_genres
Top 50 - Philippines,vampire,1kuGVB7EU95pJObxwvfwKS,True,95,GUTS,1xJHno7SmdVtZAtXbdbDZp,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,2023-09-08,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,219724,5,0.177,0.511,0.532,0.0,0.291,-5.745,1,0.0578,0.35,138.005,pop
Top 50 - Philippines,greedy,3rUGC1vUpkDG9CZFHMur1t,True,100,greedy,3UOV8XvCwMKaATRNXrYCjN,https://i.scdn.co/image/ab67616d0000b27322fd802bc61db666c7c81aa8,2023-09-15,Tate McRae,45dkTj5sMRSjrmBSBeiHym,131872,6,0.256,0.75,0.733,0.0,0.114,-3.18,0,0.0319,0.844,111.018,"alt z, pop"
Top 50 - Philippines,Umaasa,4AULw1VRyJP17zMvwgTIUs,False,78,Umaasa,5CoCHo5Uln3nDpd1q2aewW,https://i.scdn.co/image/ab67616d0000b2732d6a3c20c37868408e4ae97f,2019-06-28,Calein,0DpLoyGVbhOHNR3ht2oO9y,335625,9,0.295,0.627,0.433,0.393,0.332,-9.868,1,0.0232,0.353,96.016,pinoy city pop
Top 50 - Philippines,Lihim,2K0CH6BtfBtY7wMnsKIuzo,False,79,Lihim,2FIBgr9TXQpqItmTNIT89U,https://i.scdn.co/image/ab67616d0000b27315bbc8e50ff9584f7999dcaa,2023-07-28,Arthur Miguel,2Ev7vtPI38BE2kQvwmH4ce,246346,8,0.596,0.48,0.538,0.000229,0.206,-8.297,1,0.0398,0.392,207.924,opm
Top 50 - Philippines,Take A Chance With Me,0x7PmByJWVXdeipevd6KZS,False,80,Nicole,7gK4I6eM9fYJCfq4IeHx1t,https://i.scdn.co/image/ab67616d0000b2732c2861964a03f27e3093f1b2,2022-08-11,NIKI,2kxP07DLgs4xlWz8YHlvfh,303933,10,0.843,0.599,0.42,0.000262,0.103,-11.637,1,0.0645,0.506,93.981,indonesian r&b
Top 50 - Philippines,Saan?,61DuXKQqvXkxcrAIiNLIgR,False,78,Saan?,2USw0nRD3YRnfofRyufJnR,https://i.scdn.co/image/ab67616d0000b27300ff974d0f0e2a0b39b29f96,2023-03-31,Maki,6AvnL2gWjNYs1hRVJx4huK,206500,4,0.186,0.596,0.785,0.0,0.165,-4.282,0,0.0363,0.695,120.022,
Top 50 - Philippines,Nahuhulog,1t2gvCG4jH1kYE9sX2PrRs,False,79,Nahuhulog,6djSRoiGffRDFthmbsRgDP,https://i.scdn.co/image/ab67616d0000b273960b2b0e22a266c56e02f656,2022-05-13,Jed Baruelo,6EigliA66uumHSob7cOG1y,227263,4,0.837,0.612,0.389,0.00461,0.306,-12.725,0,0.0578,0.348,125.091,
Top 50 - Philippines,Gusto,0uemlnPoeZOYIDaMFZ7lvi,False,71,3rd Time’s A Charm,5bWsdwr9OileEY1gHx1Do3,https://i.scdn.co/image/ab67616d0000b273cdd39bd0b8dcff3df94afba8,2023-11-17,Zack Tabudlo,67IN4cLJ7798gUapyZlmac,260000,10,0.038,0.608,0.695,0.0,0.0939,-5.307,0,0.0333,0.203,83.965,"acoustic opm, opm, p-pop"
Top 50 - Philippines,Tadhana,6FIEuf1JIzmCtach0gXpeG,False,78,Capacities,1QpFitywD6FWjFWvTmLOw9,https://i.scdn.co/image/ab67616d0000b273c37604dd465e90d386feb4bf,2012-12-07,Up Dharma Down,3wbCeEPAW6po7J46netxMT,222447,6,0.162,0.685,0.322,0.0299,0.0809,-13.2,1,0.0369,0.508,155.977,opm
Top 50 - Philippines,Mahika,2nqlM3gNBMi5Zf9MDzp2Xi,False,71,Senaryo,5UNDk7qptf3EtMNoIh3w0k,https://i.scdn.co/image/ab67616d0000b273ac3364edd3104f123584d1be,2023-12-15,Adie,1DlYnIiliftt6R21Y5NOW2,201951,7,0.75,0.637,0.455,0.0,0.13,-7.404,1,0.0385,0.608,82.094,opm
Top 50 - Philippines,Ikaw Lang,16iRlyUMJVPqz62DlomMre,False,77,Ikaw Lang,1nft8RTZE2QYeDPPNEnCBx,https://i.scdn.co/image/ab67616d0000b273c4c0f8a3f5973ecbe5959188,2020-06-12,NOBITA,5GVk1KCKa1tdHRev4bMw7V,263500,11,0.12,0.513,0.38,0.0,0.0924,-11.091,1,0.0336,0.323,120.952,opm
Top 50 - Philippines,Rapstar,6Rv8Ltr2MuAIM3LHF4L8qs,False,76,Rapstar,7IrCcwvtv03sTMD5PvHDkv,https://i.scdn.co/image/ab67616d0000b2739ec1ea9e58788625bc66c3cd,2023-01-02,Flow G,3PDFGpPl4ienSn5Vwisfrh,219470,10,0.109,0.709,0.867,0.000611,0.153,-5.122,0,0.0424,0.3,151.966,"pinoy hip hop, pinoy r&b, tagalog rap"
